chainId,chain_name,shortName
380,ZKAmoeba Testnet,zkamoeba-test
381,ZKAmoeba Mainnet,zkamoeba
385,Lisinski,lisinski
388,Cronos zkEVM Mainnet,zkCRO
395,CamDL Testnet,camdl-testnet
397,Near Mainnet,near
398,Near Testnet,near-testnet
399,Nativ3 Mainnet,N3
400,HyperonChain TestNet,hpn
401,Ozone Chain Testnet,ozo_tst
404,Syndr L3,syndr-l3
411,Pepe Chain Mainnet,pepe
416,SX Network Mainnet,SX
418,LaTestnet,latestnet
420,Optimism Goerli Testnet,ogor
422,Viridis Mainnet,vrd
424,PGN (Public Goods Network),PGN
427,Zeeth Chain,zeeth
428,Geso Verse,GSV
434,Boyaa Mainnet,BYC
443,Ten Testnet,ten-testnet
444,Synapse Chain Testnet,synapse-sepolia
456,ARZIO Chain,arzio
462,Areon Network Testnet,tarea
463,Areon Network Mainnet,area
480,World Chain,wc
499,Rupaya,rupx
500,Camino C-Chain,Camino
501,Columbus Test Network,Columbus
510,Syndicate Chain,syndicate-chain-mainnet
512,Double-A Chain Mainnet,aac
513,Double-A Chain Testnet,aact
516,Gear Zero Network Mainnet,gz-mainnet
520,XT Smart Chain Mainnet,xt
529,Firechain Mainnet,fire
530,F(x)Core Mainnet Network,FxCore
534,Candle,CNDL
537,OpTrust Mainnet,optrust
542,PAWCHAIN Testnet,PAW
545,Testnet,flow-testnet
555,Vela1 Chain Mainnet,CLASS
558,Tao Network,tao
568,Dogechain Testnet,dct
571,MetaChain Mainnet,metatime
579,Filenova Mainnet,filenova
595,Acala Mandala Testnet TC9,maca
596,Karura Network Testnet,tkar
597,Acala Network Testnet,taca
600,Meshnyan testnet,mesh-chain-testnet
601,Vine Testnet,VINE
610,Darwin Devnet,darwin-devnet
612,EIOB Mainnet,eiob
614,Graphlinq Blockchain Mainnet,glq
624,Binary Mainnet,thebinaryholdings-mainnet
625,Binary Sepolia,thebinaryholdings-sepolia
634,Avocado,avocado
646,Previewnet,flow-previewnet
647,SX Network Testnet,SX-Testnet
648,Endurance Smart Chain Mainnet,ace
653,Kalichain Testnet,kalichain
654,Kalichain,kalichainMainnet
662,UltronSmartchain,ultronsmartchain
666,Pixie Chain Testnet,pixie-chain-testnet
667,LAOS Arrakis,laos
668,JuncaChain,junca
669,JuncaChain testnet,juncat
686,Karura Network,kar
690,Redstone,redstone
700,Star Social Testnet,SNS
701,Darwinia Koi Testnet,darwinia-koi
707,BlockChain Station Mainnet,bcs
708,BlockChain Station Testnet,tbcs
710,Highbury,fury
713,Vrcscan Mainnet,vrc
719,Shibarium Beta,shibarium
721,Lycan Chain,LYC
727,Blucrates,blu
730,Lovely Network Mainnet,LOVELY
741,Vention Smart Chain Testnet,vsct
742,Script Testnet,SPAY
747,Mainnet,flow-mainnet
766,QL1,qom
776,OpenChain Testnet,opc
777,cheapETH,cth
786,MAAL Chain,maal
787,Acala Network,aca
788,Aerochain Testnet,taero
789,Patex,peth
799,Rupaya Testnet,RupayaTestnet
800,Lucid Blockchain,LUCID
803,Haic,haic
808,Portal Fantasy Chain Test,PFTEST
810,Haven1 Testnet,h1
813,Qitmeer Network Mainnet,meer
814,Firechain zkEVM,firechan-zkEVM
818,BeOne Chain Mainnet,BOC
822,Runic Chain Testnet,runic-testnet
831,CheckDot Blockchain Devnet,cdt
841,Taraxa Mainnet,tara
842,Taraxa Testnet,taratest
852,HongKong Mainnet,HongKong
859,Zeeth Chain Dev,zeethdev
868,Fantasia Chain Mainnet,FSCMainnet
876,Bandai Namco Research Verse Mainnet,BNKEN
877,Dexit Network,DXT
880,Ambros Chain Mainnet,ambros
898,MAXI Chain Testnet,maxi-testnet
899,MAXI Chain Mainnet,maxi-mainnet
900,Garizon Testnet Stage0,gar-test-s0
901,Garizon Testnet Stage1,gar-test-s1
902,Garizon Testnet Stage2,gar-test-s2
903,Garizon Testnet Stage3,gar-test-s3
909,Portal Fantasy Chain,PF
910,DecentraBone Layer1 Testnet,DBONE
911,TAPROOT Mainnet,TAPROOT-Mainnet
917,Rinia Testnet,tfire
919,Mode Testnet,modesep
927,Yidark Chain Mainnet,ydk
943,PulseChain Testnet v4,t4pls
956,muNode Testnet,munode
957,Lyra Chain,lyra
963,BTC20 Smart Chain,btc20
969,EthXY,sexy
970,Oort Mainnet,ccn
971,Oort Huygens,Huygens
972,Oort Ascraeus,Ascraeus
977,Nepal Blockchain Network,yeti
979,EthXY Testnet,sexyTestnet
980,TOP Mainnet EVM,top_evm
985,Memo Smart Chain Mainnet,memochain
987,BinaryChain Mainnet,binary
989,TOP Mainnet,top
990,eLiberty Mainnet,ELm
995,5ireChain Mainnet,5ire
997,5ireChain Thunder,T5ire
998,Lucky Network,ln
999,Wanchain Testnet,twan
1000,GTON Mainnet,gton
1001,Kaia Testnet Kairos,kaia-kairos
1003,Tectum Emission Token,tet
1004,T-EKTA,t-ekta
1007,Newton Testnet,tnew
1008,Eurus Mainnet,eun
1009,Jumbochain Mainnet,Jumboscan
1010,Evrice Network,EVC
1011,Rebus Mainnet,rebus
1012,Newton,new
1022,Sakura,sku
1023,Clover Testnet,tclv
1024,CLV Parachain,clv
1028,BitTorrent Chain Testnet,tbtt
1031,Proxy Network Testnet,prx
1038,Bronos Testnet,bronos-testnet
1039,Bronos Mainnet,bronos-mainnet
1073,ShimmerEVM Testnet,shimmerevm-testnet
1075,IOTA EVM Testnet,iotaevm-testnet
1079,Mintara Testnet,mintara-testnet
1080,Mintara Mainnet,mintara
1089,Humans.ai Mainnet,humans
1099,MOAC mainnet,moac
1100,Dymension,dymension
1107,BLXq Testnet,tblxq
1108,BLXq Mainnet,blxq
1111,WEMIX3.0 Mainnet,wemix
1112,WEMIX3.0 Testnet,twemix
1113,B2 Hub Testnet,B2Hub-testnet
1115,Core Blockchain Testnet,tcore
1117,Dogcoin Mainnet,DOGSm
1123,B2 Testnet,B2-testnet
1130,DeFiChain EVM Network Mainnet,DFI
1131,DeFiChain EVM Network Testnet,DFI-T
1133,DeFiMetaChain Changi Testnet,changi
1135,Lisk,lisk
1138,AmStar Testnet,ASARt
1139,MathChain,MATH
1140,MathChain Testnet,tMATH
1147,Flag Testnet,tFLAG
1149,Symplexia Smart Chain,Plexchain
1170,Origin Testnet,auoc
1177,Smart Host Teknoloji TESTNET,sht
1188,ClubMos Mainnet,MOS
1197,Iora Chain,iora
1200,Cuckoo Chain,cai
1201,Evanesco Testnet,avis
1202,World Trade Technical Chain Mainnet,wtt
1209,SaitaBlockChain(SBC),SBC
1210,Cuckoo Sepolia,caisepolia
1213,Popcateum Mainnet,popcat
1214,EnterChain Mainnet,enter
1221,Cycle Network Testnet,Cycle
1223,Cycle Network Testnet Jellyfish,cyclej
1225,Hybrid Testnet,hyb
1227,Bitcoin Protocol Testnet,BTCP
1229,Exzo Network Mainnet,xzo
1230,Ultron Testnet,UltronTestnet
1235,ITX Mainnet,itx
1243,ARC Mainnet,ARC
1244,ARC Testnet,TARC
1246,OM Platform Mainnet,om
1248,Dogether Mainnet,Dogether
1252,CIC Chain Testnet,CICT
1280,HALO Mainnet,HO
1287,Moonbase Alpha,mbase
1288,Moonrock,mrock
1291,Swisstronik Testnet,swtr
1311,Dos Fuji Subnet,TDOS
1313,JaiHo Chain,JHC
1314,Alyx Mainnet,alyx
1319,AIA Mainnet,aia
1320,AIA Testnet,aiatestnet
1328,Sei Testnet,sei-testnet
1329,Sei Network,sei
1337,Geth Testnet,geth
1338,Elysium Testnet,ELST
1339,Elysium Mainnet,ELSM
1343,Blitz Subnet,blitz
1353,CIC Chain Mainnet,CIC
1369,Zafirium Mainnet,zafic
1370,Ramestta Mainnet,RAMA
1377,Pingaksha testnet,tRAMA
1379,Kalar Chain,KLC
1388,AmStar Mainnet,ASAR
1392,Joseon Mainnet,mun
1414,Silicon zkEVM Sepolia Testnet,silicon-sepolia-testnet
1433,Rikeza Network Mainnet,RIK
1440,Living Assets Mainnet,LAS
1442,Polygon zkEVM Testnet,testnet-zkEVM-mango
1452,GIL Testnet,gil
1453,MetaChain Istanbul,metatimeistanbul
1455,Ctex Scan Blockchain,CTEX
1456,ZKBase Mainnet,zkbase
1490,Vitruveo Mainnet,vitruveo
1499,iDos Games Chain Testnet,IGC
1501,BEVM Canary,chainx
1506,Sherpax Mainnet,Sherpax
1507,Sherpax Testnet,SherpaxTestnet
1515,Beagle Messaging Chain,beagle
1570,StarCHAIN Testnet,starchain-testnet
1578,StarCHAIN,starchain
1617,Ethereum Inscription Mainnet,etins
1618,Catecoin Chain Mainnet,cate
1620,Atheios,ath
1625,Gravity Alpha Mainnet,gravity
1648,Pivotal Mainnet,pivotal-mainnet
1657,Btachain,bta
1662,Liquichain,Liquichain
1663,Horizen Gobi Testnet,Gobi
1686,Mint Testnet,minttest
1687,Mint Sepolia Testnet,mintsepoliatest
1688,LUDAN Mainnet,LUDAN
1701,Anytype EVM Chain,AnytypeChain
1707,TBSI Mainnet,TBSI
1708,TBSI Testnet,tTBSI
1717,Doric Network,DRC
1718,Palette Chain Mainnet,PCM
1740,Metal L2 Testnet,metall2-testnet
1750,Metal L2,metall2
1773,PartyChain,TeaParty
1777,Gauss Mainnet,gauss
1789,ZKBase Sepolia Testnet,zkbase-sepolia
1804,Kerleano,kerleano
1807,Rabbit Analog Testnet Chain,rAna
1811,Lif3 Chain Testnet,lif3-testnet
1818,Cube Chain Mainnet,cube
1819,Cube Chain Testnet,cubet
1821,Ruby Smart Chain MAINNET,RUBY
1856,Teslafunds,tsf
1875,Whitechain,wbt
1881,Gitshock Cartenz Testnet,gitshockchain
1890,Lightlink Phoenix Mainnet,lightlink_phoenix
1891,Lightlink Pegasus Testnet,lightlink_pegasus
1898,BON Network,boya
1899,ReDeFi Layer 2,red
1904,Sports Chain Network,SCN
1907,Bitcichain Mainnet,bitci
1908,Bitcichain Testnet,tbitci
1909,Merkle Scan,MRK
1911,Scalind,scal
1912,Ruby Smart Chain Testnet,tRUBY
1918,UPB CRESCDI Testnet,UPBEth
1945,ONUS Chain Testnet,onus-testnet
1951,D-Chain Mainnet,dchain-mainnet
1953,Selendra Network Testnet,tSEL
1954,Dexilla Testnet,Dexilla
1956,AIW3 Testnet,AIW3-Testnet
1961,Selendra Network Mainnet,SEL
1967,Eleanor,mtc
1969,Super Smart Chain Testnet,tscs
1970,Super Smart Chain Mainnet,scs
1971,Atelier,atlr
1972,RedeCoin,rede
1984,Eurus Testnet,euntest
1985,SatoshIE,satoshie
1986,SatoshIE Testnet,satoshie_testnet
1987,EtherGem,egem
1992,Hubble Exchange,hubblenet
1993,B3 Sepolia Testnet,b3-sepolia
1994,Ekta,ekta
1995,edeXa Testnet,edx
1997,Kyoto,kyoto
1998,Kyoto Testnet,kyoto-testnet
2002,Milkomeda A1 Mainnet,milkALGO
2004,MetaLink Network,mtl
2008,CloudWalk Testnet,cloudwalk_testnet
2009,CloudWalk Mainnet,cloudwalk_mainnet
2013,Panarchy,panarchy
2014,NOW Chain Testnet,now
2016,MainnetZ Mainnet,netz
2017,Adiri,tel
2018,PublicMint Devnet,pmint_dev
2019,PublicMint Testnet,pmint_test
2021,Edgeware EdgeEVM Mainnet,edg
2022,Beresheet BereEVM Testnet,edgt
2023,Taycan Testnet,taycan-testnet
2024,Swan Saturn Testnet,saturn
2025,Rangers Protocol Mainnet,rpg
2026,Edgeless Network,edgeless
2031,Centrifuge,cfg
2032,Catalyst,ncfg
2035,Phala Network,pha
2037,Kiwi Subnet,kiwi
2038,Shrapnel Testnet,shraptest
2039,Aleph Zero Testnet,aleph
2040,Vanar Mainnet,Vanar
2043,NeuroWeb,NEURO
2044,Shrapnel Subnet,Shrapnel
2045,AIW3 Mainnet,AIW3
2047,Stratos Testnet,stos-testnet
2048,Stratos,stos-mainnet
2049,Movo Smart Chain Mainnet,movo
2077,Quokkacoin Mainnet,QKA
2088,Altair,air
2100,Ecoball Mainnet,eco
2101,Ecoball Testnet Espuma,esp
2109,Exosama Network,exn
2112,UCHAIN Mainnet,uchain
2121,Catena Mainnet,cmcx
2122,Metaplayerone Mainnet,Metad
2124,Metaplayerone Dubai Testnet,MEU
2136,BigShortBets Testnet,bigsb_testnet
2137,BigShortBets,bigsb
2138,Defi Oracle Meta Testnet,dfio-meta-test
2140,Oneness Network,oneness
2141,Oneness TestNet,oneness-testnet
2151,BOSagora Mainnet,boa
2152,Findora Mainnet,fra
2153,Findora Testnet,findora-testnet
2154,Findora Forge,findora-forge
2162,Animechain Testnet,animechaint
2199,Moonsama Network,msn
2202,Antofy Mainnet,ABNm
2203,Bitcoin EVM,BTC
2213,Evanesco Mainnet,evanesco
2221,Kava Testnet,tkava
2223,VChain Mainnet,VChain
2241,Krest Network,KRST
2300,BOMB Chain,bomb
2306,Ebro Network,ebro
2309,Arevia,arevia
2311,Chronicle Vesuvius - Lit Protocol Testnet,lpv
2323,SOMA Network Testnet,sma
2330,Altcoinchain,alt
2331,RSS3 VSL Sepolia Testnet,rss3-testnet
2332,SOMA Network Mainnet,smam
2340,Atleta Olympia,atla
2342,Omnia Chain,omnia
2355,Silicon zkEVM,silicon-zk
2358,Kroma Sepolia,kroma-sepolia
2370,Nexis Network Testnet,nzt
2399,BOMB Chain Testnet,bombt
2400,TCG Verse Mainnet,TCGV
2410,Karak Mainnet,karak
2415,XODEX,xodex
2425,King Of Legends Mainnet,kcc
2442,Polygon zkEVM Cardona Testnet,zkevm-testnet-cardona
2458,Hybrid Chain Network Testnet,thrc
2468,Hybrid Chain Network Mainnet,hrc
2484,Unicorn Ultra Nebulas Testnet,u2u_nebulas
2522,Fraxtal Testnet,fraxtal-testnet
2525,inEVM Mainnet,inevm
2559,Kortho Mainnet,ktoc
2569,TechPay Mainnet,tpc
2606,PoCRNet,pocrnet
2611,Redlight Chain Mainnet,REDLC
2612,EZChain C-Chain Mainnet,EZChain
2613,EZChain C-Chain Testnet,Fuji-EZChain
2625,Whitechain Testnet,twbt
2648,AILayer Testnet,ailayer-testnet
2649,AILayer Mainnet,ailayer-mainnet
2662,APEX,apexmainnet
2710,Morph Testnet,tmorph
2718,K-LAOS,k-laos
2730,XR Sepolia,txr
2731,Elizabeth Testnet,TIME
2748,Nanon,Nanon
2777,GM Network Mainnet,gmnetwork-mainnet
2810,Morph Holesky,hmorph
2882,Chips Network,chips
2907,Elux Chain,ELUX
2911,HYCHAIN,hychain
2941,Xenon Chain Testnet,xenon
2999,BitYuan Mainnet,bty
3000,CENNZnet Rata,cennz-r
3001,CENNZnet Nikau,cennz-n
3003,Canxium Mainnet,cau
3011,PLAYA3ULL GAMES,3ULL
3031,Orlando Chain,ORL
3033,Rebus Testnet,rebus-testnet
3068,Bifrost Mainnet,bfc
3073,Movement EVM,move
3084,XL Network Testnet,nysl
3100,Immu3 EVM,Immu3
3102,Vulture EVM Beta,VFI
3110,SatoshiVM Testnet,tSAVM
3269,Dubxcoin network,dubx
3270,Dubxcoin testnet,testdubx
3306,Debounce Subnet Testnet,debounce-devnet
3331,ZCore Testnet,zcrbeach
3333,EthStorage Testnet,es-t
3334,Web3Q Galileo,w3q-g
3335,EthStorage Mainnet,es-m
3338,peaq,PEAQ
3400,Paribu Net Mainnet,prb
3424,EVOLVE Mainnet,EVOm
3434,SecureChain Testnet,SCAIt
3456,LayerEdge testnet,LayerEdge-testnet
3490,GTCSCAN,gtc
3500,Paribu Net Testnet,prbtestnet
3501,JFIN Chain,JFIN
3601,PandoProject Mainnet,pando-mainnet
3602,PandoProject Testnet,pando-testnet
3630,Tycooncoin,TYCON
3636,Botanix Testnet,BTNX
3637,Botanix Mainnet,BTCm
3639,iChain Network,ISLAMI
3645,iChain Testnet,ISLAMIT
3666,Jouleverse Mainnet,jouleverse
3690,Bittex Mainnet,btx
3693,Empire Network,empire
3698,SenjePowers Testnet,SPCt
3699,SenjePowers Mainnet,SPCm
3737,Crossbell,csb
3776,Astar zkEVM,astrzk
3797,AlveyChain Mainnet,alv
3799,Tangle Testnet,tTangle
3885,Firechain zkEVM Ghostrider,firechain-zkEVM-testnet
3888,KalyChain Mainnet,kalymainnet
3889,KalyChain Testnet,kalytestnet
3912,DRAC Network,drac
3939,DOS Tesnet,dost
3966,DYNO Mainnet,dyno
3967,DYNO Testnet,tdyno
3993,APEX Testnet,apexsep
3999,YuanChain Mainnet,ycc
4000,Ozone Chain Mainnet,ozo
4001,Peperium Chain Testnet,PERIUM
4002,Fantom Testnet,tftm
4003,X1 Fastnet,x1-fastnet
4040,Carbonium Testnet Network,tcbr
4048,GAN Testnet,GANTestnet
4058,Bahamut ocean,ocean
4061,Nahmii 3 Mainnet,Nahmii3Mainnet
4062,Nahmii 3 Testnet,Nahmii3Testnet
4078,Muster Mainnet,muster
4080,Tobe Chain,tbc
4090,Fastex Chain (Bahamut) Oasis Testnet,Oasis
4096,Bitindi Testnet,BNIt
4099,Bitindi Mainnet,BNIm
4102,AIOZ Network Testnet,aioz-testnet
4139,Humans.ai Testnet,humans_testnet
4141,Tipboxcoin Testnet,TPBXt
4157,CrossFi Testnet,crossfi-testnet
4162,SX Rollup,SXR
4181,PHI Network V1,PHIv1
4200,Merlin Mainnet,merlin
